name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Dumfries and Galloway,S14000073,County,Scotland,S92000003,,,2019-12-12,52500,1556,76863
"Dumfriesshire, Clydesdale and Tweeddale",S14000074,County,Scotland,S92000003,,,2019-12-12,50896,4338,70738
Mid Dunbartonshire,S14000097,County,Scotland,S92000003,,,2019-12-12,58552,1986,75099
West Dunbartonshire,S14000106,County,Scotland,S92000003,,,2019-12-12,46615,9841,70286
Dundee Central,S14000075,Burgh,Scotland,S92000003,,,2019-12-12,46651,15221,75298
Dunfermline and Dollar,S14000076,County,Scotland,S92000003,,,2019-12-12,48619,10073,70725
Dunstable and Leighton Buzzard,E14001206,County,England,E92000001,East of England,E12000006,2019-12-12,48270,15386,74069
North Durham,E14001389,County,England,E92000001,North East,E12000001,2019-12-12,47798,4424,73079
City of Durham,E14001173,County,England,E92000001,North East,E12000001,2019-12-12,51289,4657,72878
Dwyfor Meirionnydd,W07000096,County,Wales,W92000004,,,2019-12-12,50518,9880,72533
Ealing Central and Acton,E14001207,Borough,England,E92000001,London,E12000007,2019-12-12,52985,14133,75399
Ealing North,E14001208,Borough,England,E92000001,London,E12000007,2019-12-12,48764,11908,72985
Ealing Southall,E14001209,Borough,England,E92000001,London,E12000007,2019-12-12,50998,18266,75085
Earley and Woodley,E14001210,Borough,England,E92000001,South East,E12000008,2019-12-12,51110,11293,70083
Easington,E14001211,County,England,E92000001,North East,E12000001,2019-12-12,39848,7852,70043
East Grinstead and Uckfield,E14001212,County,England,E92000001,South East,E12000008,2019-12-12,57231,20291,72356
East Ham,E14001213,Borough,England,E92000001,London,E12000007,2019-12-12,47247,29863,70902
East Kilbride and Strathaven,S14000077,County,Scotland,S92000003,,,2019-12-12,51684,13169,75161
Eastbourne,E14001219,Borough,England,E92000001,South East,E12000008,2019-12-12,51259,2168,73322
Eastleigh,E14001220,Borough,England,E92000001,South East,E12000008,2019-12-12,49572,8641,69982
Edinburgh East and Musselburgh,S14000078,Burgh,Scotland,S92000003,,,2019-12-12,52253,11796,75705
Edinburgh North and Leith,S14000079,Burgh,Scotland,S92000003,,,2019-12-12,58855,12983,76770
Edinburgh South,S14000080,Burgh,Scotland,S92000003,,,2019-12-12,53029,10795,70980
Edinburgh South West,S14000081,Burgh,Scotland,S92000003,,,2019-12-12,52131,11982,73315
Edinburgh West,S14000082,Burgh,Scotland,S92000003,,,2019-12-12,55024,2888,76723
Edmonton and Winchmore Hill,E14001221,Borough,England,E92000001,London,E12000007,2019-12-12,48247,13067,75204
Ellesmere Port and Bromborough,E14001222,Borough,England,E92000001,North West,E12000002,2019-12-12,45216,14577,71027
Eltham and Chislehurst,E14001223,Borough,England,E92000001,London,E12000007,2019-12-12,51087,3444,74179
Ely and East Cambridgeshire,E14001224,County,England,E92000001,East of England,E12000006,2019-12-12,54465,13449,76279
Enfield North,E14001225,Borough,England,E92000001,London,E12000007,2019-12-12,50808,8853,76824
Epping Forest,E14001226,County,England,E92000001,East of England,E12000006,2019-12-12,50268,22173,74553
Epsom and Ewell,E14001227,Borough,England,E92000001,South East,E12000008,2019-12-12,57397,16856,76844
Erewash,E14001228,County,England,E92000001,East Midlands,E12000004,2019-12-12,48814,10606,71986
Erith and Thamesmead,E14001229,Borough,England,E92000001,London,E12000007,2019-12-12,43085,12988,76728
Esher and Walton,E14001230,Borough,England,E92000001,South East,E12000008,2019-12-12,56178,3015,73280
North West Essex,E14001402,County,England,E92000001,East of England,E12000006,2019-12-12,55277,23227,76280
Exeter,E14001231,Borough,England,E92000001,South West,E12000009,2019-12-12,48358,10988,71713
Exmouth and Exeter East,E14001232,County,England,E92000001,South West,E12000009,2019-12-12,55832,8809,74502
Falkirk,S14000083,County,Scotland,S92000003,,,2019-12-12,48713,12578,75067
Fareham and Waterlooville,E14001233,County,England,E92000001,South East,E12000008,2019-12-12,50378,21276,77036
Farnham and Bordon,E14001234,County,England,E92000001,South East,E12000008,2019-12-12,51141,13577,72938
Faversham and Mid Kent,E14001235,County,England,E92000001,South East,E12000008,2019-12-12,48215,20618,71798
Feltham and Heston,E14001236,Borough,England,E92000001,London,E12000007,2019-12-12,43883,6993,75226
Fermanagh and South Tyrone,N05000007,County,Northern Ireland,N92000002,,,2019-12-12,51635,510,74643
North East Fife,S14000100,County,Scotland,S92000003,,,2019-12-12,52183,728,70452
Filton and Bradley Stoke,E14001237,Borough,England,E92000001,South West,E12000009,2019-12-12,51495,7842,73598
Finchley and Golders Green,E14001238,Borough,England,E92000001,London,E12000007,2019-12-12,55412,6629,75761
Folkestone and Hythe,E14001239,County,England,E92000001,South East,E12000008,2019-12-12,44795,13239,70023
Forest of Dean,E14001240,County,England,E92000001,South West,E12000009,2019-12-12,51475,15869,71510
Foyle,N05000008,County,Northern Ireland,N92000002,,,2019-12-12,44276,16413,69890
Frome and East Somerset,E14001241,County,England,E92000001,South West,E12000009,2019-12-12,47970,12395,70177
Fylde,E14001242,County,England,E92000001,North West,E12000002,2019-12-12,51947,19254,75114
Gainsborough,E14001243,County,England,E92000001,East Midlands,E12000004,2019-12-12,49122,22172,74750
Gateshead Central and Whickham,E14001244,Borough,England,E92000001,North East,E12000001,2019-12-12,42021,5911,70994
Gedling,E14001245,County,England,E92000001,East Midlands,E12000004,2019-12-12,54100,2407,75795
Gillingham and Rainham,E14001246,Borough,England,E92000001,South East,E12000008,2019-12-12,45958,15119,73951
Glasgow East,S14000084,Burgh,Scotland,S92000003,,,2019-12-12,41185,6276,69748
